species_tsn;qc_sp_id;genus;species;en_com_name
18032;SAB;Abies                                                       ;balsamea                                                    ;Balsam fir                                                  
28728;ERR;Acer                                                        ;rubrum                                                      ;"Red maple (soft)
                                           "
28757;ERA;Acer                                                        ;saccharinum                                                 ;Silver maple (soft)                                         
28731;ERS;Acer                                                        ;saccharum                                                   ;Sugar maple (hard)                                          
28758;ERE;Acer                                                        ;spicatum                                                    ;Mountain Maple                                              
181888;AUR;Alnus                                                       ;incana ssp. Rugosa                                          ;Speckled Alder	                                             
25108;AME;Amelanchier                                                 ;sp.                                                         ;Serviceberry                                                
19481;BOJ;Betula                                                      ;alleghaniensis                                              ;Yellow Birch                                                
19489;BOP;Betula                                                      ;papyrifera                                                  ;White Birch                                                 
19497;BOG;Betula                                                      ;populifolia                                                 ;Grey Birch                                                  
19227;CAC;Carya                                                       ;cordiformis                                                 ;Bitternut Hickory                                           
19462;HEG;Fagus                                                       ;grandifolia                                                 ;American Beech                                              
32931;FRA;Fraxinus                                                    ;americana                                                   ;White Ash                                                   
32945;FRN;Fraxinus                                                    ;nigra                                                       ;Black Ash                                                   
32929;FRP;Fraxinus                                                    ;pennsylvanica                                               ;Red Ash                                                     
19250;NOC;Juglans                                                     ;cinerea                                                     ;Butternut                                                   
183412;MEL;Larix                                                       ;laricina                                                    ;Tamarack                                                    
507062;MAS;Malus                                                       ;sp.                                                         ;Apple                                                       
19511;OSV;Ostrya                                                      ;virginiana                                                  ;Ironwood                                                    
183289;EPO;Picea                                                       ;abies                                                       ;Norway Spruce	                                              
183295;EPB;Picea                                                       ;glauca                                                      ;White Spruce                                                
183302;EPN;Picea                                                       ;mariana                                                     ;Black Spruce                                                
18034;EPR;Picea                                                       ;rubens                                                      ;Red Spruce                                                  
183319;PIG;Pinus                                                       ;banksiana                                                   ;Jack Pine                                                   
183375;PIR;Pinus                                                       ;resinosa                                                    ;Norway Pine                                                 
183385;PIB;Pinus                                                       ;strobus                                                     ;White Pine                                                  
183389;PIS;Pinus                                                       ;sylvestris                                                  ;Scots Pine                                                  
183394;PRV;Pinus                                                       ;virginiana                                                  ;Virginia Pine                                               
22453;PEB;Populus                                                     ;balsamifera                                                 ;Balsam poplar                                               
22445;PED;Populus                                                     ;deltoides                                                   ;Cottonwood                                                  
22463;PEG;Populus                                                     ;grandidentata                                               ;Large tooth aspen	                                          
195773;PET;Populus                                                     ;tremuloides                                                 ;Trembling Aspen	                                            
24799;PRP;Prunus                                                      ;pensylvanica                                                ;Pin Cherry                                                  
24764;CET;Prunus                                                      ;serotina                                                    ;Black Cherry                                                
19290;CHB;Quercus                                                     ;alba                                                        ;White Oak                                                   
19300;CHE;Quercus                                                     ;bicolor                                                     ;Swamp White Oak	                                            
19287;CHG;Quercus                                                     ;macrocarpa                                                  ;Bur Oak                                                     
19408;CHR;Quercus                                                     ;rubra                                                       ;Red Oak                                                     
22476;SAL;Salix                                                       ;sp.                                                         ;Willow                                                      
25319;SOA;Sorbus                                                      ;americana                                                   ;American Mountain-ash                                       
25320;SOD;Sorbus                                                      ;aucuparia                                                   ;Rowan                                                       
21536;TIL;Tilia                                                       ;americana                                                   ;Basswood                                                    
505490;THO;Thuja                                                       ;occidentalis                                                ;White Cedar                                                 
19049;ORA;Ulmus                                                       ;americana                                                   ;American Elm                                                
19050;ORR;Ulmus                                                       ;rubra                                                       ;Red elm (slippery)	                                         
19059;ORT;Ulmus                                                       ;thomasii                                                    ;Rock elm                                                    
